date,periodic portfolio,periodic benchmark,periodic +/-,cumulative portfolio,cumulative benchmark,cumulative +/-
2024-04-09,0.47,0.16,0.31,42.81,38.98,3.84
2024-04-10,-1.54,-0.94,-0.6,40.61,37.66,2.94
2024-04-11,0.81,0.75,0.06,41.74,38.69,3.05
2024-04-12,-1.62,-1.44,-0.18,39.44,36.69,2.75
2024-04-15,-1.67,-1.2,-0.46,37.12,35.05,2.07
2024-04-16,-0.57,-0.21,-0.36,36.34,34.77,1.57
2024-04-17,-0.49,-0.58,0.09,35.68,33.99,1.69
2024-04-18,-0.62,-0.21,-0.41,34.83,33.7,1.13
2024-04-19,-0.88,-0.87,0.0,33.65,32.54,1.11
2024-04-22,0.44,0.87,-0.43,34.24,33.7,0.55
2024-04-23,1.19,1.2,-0.01,35.84,35.3,0.54
2024-04-24,0.96,0.02,0.93,37.14,35.33,1.81
2024-04-25,0.09,-0.46,0.54,37.26,34.71,2.55
2024-04-26,0.9,1.02,-0.12,38.5,36.09,2.41
2024-04-29,2.33,0.32,2.0,41.72,36.53,5.19
2024-04-30,-2.43,-1.57,-0.86,38.27,34.39,3.88
2024-05-01,-0.63,-0.34,-0.28,37.4,33.93,3.48
2024-05-02,1.26,0.91,0.35,39.13,35.15,3.98
2024-05-03,0.67,1.26,-0.59,40.07,36.85,3.22
2024-05-06,1.07,1.04,0.03,41.57,38.27,3.3
2024-05-07,-0.72,0.14,-0.86,40.55,38.46,2.09
2024-05-08,-0.38,0.0,-0.37,40.02,38.46,1.56
2024-05-09,0.68,0.53,0.15,40.98,39.19,1.78
2024-05-10,-0.54,0.18,-0.72,40.22,39.45,0.77
2024-05-13,-0.13,-0.02,-0.11,40.04,39.41,0.62
2024-05-14,0.46,0.5,-0.04,40.68,40.11,0.57
2024-05-15,0.15,1.19,-1.04,40.89,41.78,-0.89
2024-05-16,-0.65,-0.19,-0.46,39.98,41.51,-1.54
2024-05-17,0.51,0.12,0.39,40.69,41.68,-0.99
2024-05-20,-0.74,0.1,-0.84,39.65,41.82,-2.18
2024-05-21,0.64,0.25,0.39,40.54,42.18,-1.64
2024-05-22,-1.04,-0.27,-0.77,39.08,41.8,-2.72
2024-05-23,-1.62,-0.73,-0.88,36.83,40.76,-3.93
2024-05-24,1.01,0.7,0.3,38.2,41.75,-3.54
2024-05-27,0.0,0.0,0.0,38.2,41.75,-3.54
2024-05-28,-0.24,0.02,-0.27,37.87,41.78,-3.92
2024-05-29,-0.66,-0.74,0.08,36.96,40.74,-3.78
2024-05-30,0.59,-0.59,1.18,37.77,39.91,-2.14
2024-05-31,0.56,0.81,-0.25,38.54,41.05,-2.51
2024-06-03,-0.05,0.12,-0.17,38.48,41.22,-2.74
2024-06-04,0.1,0.16,-0.05,38.62,41.44,-2.82
2024-06-05,0.58,1.19,-0.6,39.43,43.12,-3.69
2024-06-06,0.73,-0.02,0.75,40.45,43.09,-2.65
2024-06-07,-0.41,-0.09,-0.32,39.87,42.96,-3.09
2024-06-10,0.32,0.27,0.05,40.32,43.34,-3.02
2024-06-11,-0.26,0.27,-0.54,39.95,43.73,-3.78
2024-06-12,1.04,0.85,0.19,41.41,44.96,-3.55
2024-06-13,0.08,0.24,-0.16,41.52,45.3,-3.78
2024-06-14,-0.79,-0.01,-0.78,40.4,45.28,-4.88
2024-06-17,1.76,0.78,0.98,42.87,46.41,-3.54
2024-06-18,-0.34,0.26,-0.59,42.39,46.78,-4.4
2024-06-19,0.0,0.0,0.0,42.39,46.78,-4.4
2024-06-20,0.13,-0.25,0.38,42.57,46.41,-3.85
2024-06-21,0.84,-0.15,1.0,43.77,46.19,-2.42
2024-06-24,-0.43,-0.3,-0.13,43.16,45.75,-2.6
2024-06-25,-0.4,0.39,-0.8,42.58,46.33,-3.74
2024-06-26,1.45,0.16,1.29,44.65,46.56,-1.91
2024-06-27,0.61,0.09,0.52,45.53,46.69,-1.16
2024-06-28,-1.11,-0.4,-0.72,43.92,46.11,-2.19
2024-07-01,0.34,0.27,0.07,44.4,46.51,-2.1
2024-07-02,1.95,0.62,1.33,47.21,47.41,-0.2
2024-07-03,0.64,0.51,0.13,48.15,48.17,-0.02
2024-07-04,0.0,0.0,0.0,48.15,48.17,-0.02
2024-07-05,0.81,0.56,0.25,49.36,49.0,0.36
2024-07-08,0.05,0.1,-0.06,49.43,49.16,0.28
2024-07-09,0.33,0.08,0.26,49.93,49.27,0.66
2024-07-10,0.75,1.03,-0.28,51.06,50.81,0.25
2024-07-11,-1.27,-0.87,-0.4,49.14,49.49,-0.36
2024-07-12,1.31,0.55,0.75,51.09,50.32,0.77
2024-07-15,-0.11,0.29,-0.41,50.91,50.76,0.15
2024-07-16,1.79,0.64,1.15,53.62,51.72,1.9
2024-07-17,-1.67,-1.39,-0.28,51.06,49.61,1.44
2024-07-18,-1.02,-0.78,-0.24,49.52,48.44,1.07
2024-07-19,-0.89,-0.71,-0.18,48.18,47.39,0.79
2024-07-22,1.1,1.08,0.02,49.82,48.99,0.83
2024-07-23,-0.45,-0.16,-0.29,49.15,48.76,0.39
2024-07-24,-4.09,-2.31,-1.78,43.05,45.32,-2.27
2024-07-25,-0.39,-0.51,0.12,42.49,44.57,-2.08
2024-07-26,1.12,1.12,0.0,44.08,46.18,-2.1
2024-07-29,1.67,0.08,1.59,46.49,46.3,0.18
2024-07-30,-0.55,-0.5,-0.06,45.68,45.58,0.1
2024-07-31,1.55,1.59,-0.04,47.93,47.89,0.04
2024-08-01,-2.45,-1.37,-1.09,44.3,45.87,-1.57
2024-08-02,-3.68,-1.84,-1.84,38.99,43.19,-4.2
2024-08-05,-2.83,-2.99,0.17,35.06,38.91,-3.84
2024-08-06,1.1,1.04,0.07,36.55,40.35,-3.79
2024-08-07,-1.74,-0.77,-0.97,34.17,39.26,-5.09
2024-08-08,2.18,2.3,-0.12,37.1,42.47,-5.38
2024-08-09,0.33,0.48,-0.15,37.56,43.16,-5.6
2024-08-12,-0.4,0.02,-0.41,37.01,43.18,-6.17
2024-08-13,2.51,1.69,0.82,40.44,45.6,-5.15
2024-08-14,-0.53,0.39,-0.92,39.69,46.16,-6.46
2024-08-15,3.19,1.64,1.55,44.15,48.56,-4.41
