date,periodic portfolio,periodic benchmark,periodic +/-,cumulative portfolio,cumulative benchmark,cumulative +/-
2024-05-27,0.0,0.0,0.0,76.38,4.57,71.81
2024-05-28,0.42,-0.68,1.1,77.13,3.87,73.26
2024-05-29,-0.63,-0.95,0.32,76.01,2.88,73.13
2024-05-30,-2.28,1.54,-3.83,71.99,4.47,67.52
2024-05-31,0.16,1.81,-1.66,72.26,6.36,65.9
2024-06-03,0.25,-0.24,0.49,72.69,6.11,66.59
2024-06-04,0.21,0.78,-0.57,73.06,6.94,66.12
2024-06-05,2.22,-0.14,2.36,76.9,6.79,70.11
2024-06-06,-0.33,0.21,-0.54,76.31,7.01,69.3
2024-06-07,0.23,-0.9,1.13,76.72,6.04,70.68
2024-06-10,0.26,0.24,0.02,77.17,6.3,70.87
2024-06-11,1.86,-0.34,2.2,80.47,5.94,74.53
2024-06-12,2.21,0.95,1.26,84.46,6.95,77.51
2024-06-13,0.79,0.4,0.39,85.92,7.38,78.54
2024-06-14,0.37,-0.01,0.39,86.61,7.36,79.25
2024-06-17,1.52,-0.42,1.94,89.44,6.91,82.53
2024-06-18,0.13,0.4,-0.28,89.68,7.34,82.34
2024-06-19,0.0,0.0,0.0,89.68,7.34,82.34
2024-06-20,-1.12,-0.24,-0.89,87.55,7.09,80.46
2024-06-21,-0.17,0.29,-0.46,87.22,7.4,79.82
2024-06-24,-2.45,0.7,-3.15,82.64,8.15,74.49
2024-06-25,1.83,-1.34,3.17,85.99,6.7,79.28
2024-06-26,-0.11,-0.18,0.06,85.77,6.51,79.26
2024-06-27,0.05,0.97,-0.92,85.86,7.55,78.32
2024-06-28,-0.05,0.85,-0.9,85.77,8.46,77.31
2024-07-01,0.76,-1.03,1.78,87.17,7.35,79.82
2024-07-02,0.5,0.42,0.08,88.11,7.8,80.31
2024-07-03,1.35,0.04,1.31,90.64,7.84,82.8
2024-07-04,0.0,0.0,0.0,90.64,7.84,82.8
2024-07-05,0.31,0.23,0.08,91.23,8.09,83.13
2024-07-08,0.68,0.21,0.48,92.53,8.32,84.22
2024-07-09,-0.08,0.03,-0.11,92.38,8.35,84.03
2024-07-10,1.45,0.8,0.65,95.17,9.22,85.95
2024-07-11,-2.5,2.78,-5.28,90.28,12.26,78.03
2024-07-12,0.89,0.8,0.09,91.98,13.16,78.82
